bocudo-94-jode371	scale 100 width
cabedu-56-lasa287	scale 1.5
caxuke-64-femu351	scale 30
dolefo-13-kovu702	scale 3.0
gebeki-18-muci858	scale 2
gepuce-64-pivu656	scale 0.50
javedu-98-pibi325	scale 100*50
jesari-34-mudu065	scale 100 width
jujigi-41-zodo151	scale 1.2
junide-55-soka558	scale 70 width
juputo-08-febo295	scale max 60*20
kepuxa-88-juxu405	scale 100x30
kitevo-12-guvo789	scale 2
kixani-97-giji283	scale 1.5
kofuti-29-goti188	scale 2
luleji-91-jera958	scale max 600*200
mozoza-90-biru865	scale 4
nabesa-52-nufu501	scale 300*200
netanu-37-vovi884	scale 1.5
raxeca-83-rotu897	scale 1000 width
regate-07-rore899	scale 4
rudola-01-bibi608	scale 0.5
ruxazu-24-nagu486	scale 2
suzumi-85-nuzo693	scale 1/4
tatesu-03-zozo948	scale 0.5
totebu-75-jata404	scale 0.8
vikelu-53-faga789	scale 100 height
zavacu-31-dola792	scale 4
zunile-23-zezi158	scale 4
